Age,Tenure,NumOfProducts,EstimatedSalary,Exited,Tenure/NumOfProducts,ESalary/Age,Tenure/Age,Balance/ESalary,ESalary/Tenure,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_1,IsActiveMember_1,AgeRanges_2,AgeRanges_3,AgeRanges_4,AgeRanges_5,CreditScoreRanges_2,CreditScoreRanges_3,CreditScoreRanges_4,CreditScoreRanges_5,SmallerThan405_1,HasBalance_1
29.0,9,2.0,142033.07,0,4.5,4897.692068965517,0.3103448275862069,0.0,14203.307,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
45.0,0,1.0,27822.99,1,0.0,618.2886666666667,0.0,4.825651017378075,27822.99,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
31.0,3,1.0,114066.77,0,3.0,3679.573225806452,0.0967741935483871,1.273466672195592,28516.6925,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
33.0,7,1.0,98453.45,0,7.0,2983.4378787878786,0.21212121212121213,0.7775105900301108,12306.68125,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
36.0,7,1.0,40812.9,0,7.0,1133.6916666666666,0.19444444444444445,0.0,5101.6125,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
41.0,6,2.0,178074.04,0,3.0,4343.269268292683,0.14634146341463414,0.3950574716000153,25439.148571428574,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
40.0,4,1.0,70154.22,0,4.0,1753.8555000000001,0.1,0.0,14030.844000000001,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
51.0,8,1.0,181297.65,1,8.0,3554.855882352941,0.1568627450980392,0.675807546319547,20144.183333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61.0,2,1.0,94153.83,0,2.0,1543.5054098360656,0.03278688524590164,1.2471011535059169,31384.61,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
49.0,2,1.0,194365.76,1,2.0,3966.6481632653063,0.04081632653061224,0.6760170104034784,64788.58666666667,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
61.0,5,1.0,158338.39,0,5.0,2595.71131147541,0.08196721311475409,0.9847966118639957,26389.73166666667,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
32.0,4,2.0,126517.46,0,2.0,3953.670625,0.125,0.8648697974176844,25303.492000000002,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
27.0,9,1.0,119708.21,1,9.0,4433.637407407407,0.3333333333333333,0.9359898539958119,11970.821,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
39.0,9,1.0,117622.8,1,9.0,3015.9692307692308,0.23076923076923078,1.1719139486562127,11762.28,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
38.0,2,1.0,90878.13,0,2.0,2391.529736842105,0.05263157894736842,1.1376926439837616,30292.710000000003,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1
37.0,2,2.0,194099.12,0,1.0,5245.922162162162,0.05405405405405406,0.5346197344944171,64699.706666666665,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
44.0,10,2.0,198059.16,0,5.0,4501.344545454545,0.22727272727272727,0.5875182445487499,18005.37818181818,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
36.0,5,2.0,86424.57,0,2.5,2400.6825000000003,0.1388888888888889,1.6899241731836212,14404.095000000001,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
33.0,5,2.0,116978.19,0,2.5,3544.7936363636363,0.15151515151515152,0.0,19496.365,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.0,8,1.0,164040.94,1,8.0,4000.998536585366,0.1951219512195122,0.7654306906556375,18226.771111111113,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
42.0,1,1.0,40014.76,1,1.0,952.732380952381,0.023809523809523808,2.4614847121412198,20007.38,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
43.0,1,1.0,113410.49,0,1.0,2637.4532558139535,0.023255813953488372,1.1040594216637278,56705.245,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
45.0,5,1.0,87107.57,0,5.0,1935.723777777778,0.1111111111111111,1.4678907929586371,14517.928333333335,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
19.0,0,1.0,45613.75,0,0.0,2400.7236842105262,0.0,1.6637132443616234,45613.75,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
62.0,4,1.0,1643.11,1,4.0,26.501774193548385,0.06451612903225806,0.0,328.62199999999996,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
51.0,4,1.0,46775.28,0,4.0,917.1623529411764,0.0784313725490196,0.8698167066022907,9355.056,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1
35.0,5,1.0,84509.57,0,5.0,2414.559142857143,0.14285714285714285,1.619426060267494,14084.928333333335,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
27.0,9,2.0,126494.82,0,4.5,4684.993333333334,0.3333333333333333,1.2042301811252034,12649.482,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33.0,1,2.0,178798.13,0,0.5,5418.125151515152,0.030303030303030304,0.3136760434798731,89399.065,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
56.0,8,1.0,99398.36,0,8.0,1774.9707142857144,0.14285714285714285,0.7918355997020474,11044.262222222222,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1
26.0,4,1.0,92840.67,0,4.0,3570.795,0.15384615384615385,1.17584642592519,18568.134,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
36.0,6,2.0,27758.36,0,3.0,771.0655555555555,0.16666666666666666,6.1182094331221295,3965.48,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
34.0,1,1.0,110431.51,0,1.0,3247.985588235294,0.029411764705882353,0.9203264539260578,55215.755,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
43.0,10,2.0,196673.28,0,5.0,4573.797209302325,0.23255813953488372,0.6263179726295305,17879.38909090909,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1
35.0,5,2.0,113656.85,0,2.5,3247.3385714285714,0.14285714285714285,1.3261455864736704,18942.808333333334,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
21.0,8,1.0,18203.0,0,8.0,866.8095238095239,0.38095238095238093,5.404233368126133,2022.5555555555557,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
58.0,2,3.5,28373.86,1,0.5714285714285714,489.2044827586207,0.034482758620689655,4.713685060827113,9457.953333333333,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
29.0,6,1.0,33953.87,0,6.0,1170.823103448276,0.20689655172413793,0.0,4850.552857142858,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
37.0,0,1.0,44203.55,0,0.0,1194.6905405405407,0.0,3.701222639358151,44203.55,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
25.0,5,2.0,58426.81,0,2.5,2337.0724,0.2,2.7004869853411475,9737.801666666666,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
36.0,9,2.0,145562.4,0,4.5,4043.3999999999996,0.25,0.0,14556.24,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
21.0,1,2.0,22388.0,0,0.5,1066.095238095238,0.047619047619047616,7.982767107378953,11194.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
55.0,8,2.0,139161.64,0,4.0,2530.2116363636364,0.14545454545454545,0.0,15462.404444444446,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
32.0,9,1.0,148210.64,0,9.0,4631.5825,0.28125,0.0,14821.064000000002,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
33.0,5,1.0,194239.63,0,5.0,5886.049393939394,0.15151515151515152,0.39772120653236415,32373.271666666667,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
41.0,10,2.0,98301.61,0,5.0,2397.600243902439,0.24390243902439024,1.2430077187952466,8936.51,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
34.0,1,2.0,171413.66,0,0.5,5041.578235294118,0.029411764705882353,0.5638146924813343,85706.83,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
32.0,2,1.0,136458.19,1,2.0,4264.3184375,0.0625,0.0,45486.06333333333,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
36.0,3,2.0,26019.59,0,1.5,722.7663888888889,0.08333333333333333,0.0,6504.8975,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
34.0,4,1.0,159235.29,0,4.0,4683.390882352942,0.11764705882352941,0.5671332026964625,31847.058,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
46.0,4,2.0,1907.66,0,2.0,41.47086956521739,0.08695652173913043,0.0,381.53200000000004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
62.0,10,2.0,114675.75,0,5.0,1849.608870967742,0.16129032258064516,0.0,10425.068181818182,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
22.0,3,1.0,128643.35,1,3.0,5847.425,0.13636363636363635,0.945885037975146,32160.8375,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
30.0,9,2.0,151869.35,0,4.5,5062.3116666666665,0.3,0.0,15186.935000000001,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
46.0,4,3.0,93251.42,1,1.3333333333333333,2027.2047826086957,0.08695652173913043,0.0,18650.284,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
28.0,3,2.0,156791.36,0,1.5,5599.691428571428,0.10714285714285714,0.520587805348458,39197.84,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
44.0,5,3.0,174205.22,1,1.6666666666666667,3959.2095454545456,0.11363636363636363,0.0,29034.203333333335,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
45.0,7,2.0,147132.46,0,3.5,3269.610222222222,0.15555555555555556,0.8062568246327154,18391.5575,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
36.0,10,2.0,109614.57,0,5.0,3044.849166666667,0.2777777777777778,0.0,9964.960909090909,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
29.0,8,2.0,172290.61,0,4.0,5941.055517241379,0.27586206896551724,0.0,19143.40111111111,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
42.0,4,2.0,85982.47,0,2.0,2047.2016666666666,0.09523809523809523,0.0,17196.494,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
35.0,10,1.0,121277.78,0,10.0,3465.0794285714287,0.2857142857142857,1.453472763106317,11025.252727272727,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
41.0,9,1.0,64595.25,0,9.0,1575.4939024390244,0.21951219512195122,1.5918730866433677,6459.525,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
29.0,8,2.0,197276.13,0,4.0,6802.625172413793,0.27586206896551724,0.4921345527205952,21919.57,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
22.0,8,2.0,99645.04,0,4.0,4529.32,0.36363636363636365,0.0,11071.67111111111,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
34.0,9,2.0,6534.18,0,4.5,192.18176470588236,0.2647058823529412,0.0,653.418,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
40.0,6,1.0,161848.03,0,6.0,4046.20075,0.15,0.0,23121.147142857142,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
44.0,6,2.0,167162.43,0,3.0,3799.1461363636363,0.13636363636363635,0.0,23880.347142857143,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31.0,9,1.0,41970.72,0,9.0,1353.8941935483872,0.2903225806451613,1.9698053786068,4197.072,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
36.0,7,2.0,60536.56,0,3.5,1681.5711111111111,0.19444444444444445,0.0,7567.07,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
62.0,1,1.0,177655.68,1,1.0,2865.414193548387,0.016129032258064516,0.0,88827.84,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
46.0,4,2.0,30984.59,1,2.0,673.5780434782608,0.08695652173913043,3.4556942660851733,6196.918,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1
32.0,1,1.0,10054.53,0,1.0,314.2040625,0.03125,8.845626797075546,5027.265,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
36.0,2,1.0,36976.52,0,2.0,1027.1255555555554,0.05555555555555555,2.699195327196827,12325.506666666666,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
33.0,5,1.0,71862.79,0,5.0,2177.6603030303027,0.15151515151515152,2.0886024603275213,11977.131666666666,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
35.0,9,1.0,99449.86,1,9.0,2841.4245714285717,0.2571428571428571,0.933474315599841,9944.986,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
30.0,3,1.0,63082.88,0,3.0,2102.7626666666665,0.1,1.435204131453732,15770.72,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
39.0,7,2.0,27231.26,0,3.5,698.2374358974358,0.1794871794871795,3.968053626604131,3403.9075,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
42.0,2,1.0,86797.41,0,2.0,2066.605,0.047619047619047616,1.154854159818824,28932.47,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
36.0,9,1.0,22994.32,0,9.0,638.7311111111111,0.25,4.618120909859479,2299.432,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
28.0,9,2.0,101300.94,1,4.5,3617.8907142857142,0.32142857142857145,1.524917142920885,10130.094000000001,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
30.0,9,2.0,74169.13,0,4.5,2472.3043333333335,0.3,1.7844525073976194,7416.9130000000005,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
37.0,6,1.0,115638.29,0,6.0,3125.3591891891892,0.16216216216216217,1.4516333646926118,16519.755714285715,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
41.0,1,2.0,31766.3,0,0.5,774.7878048780487,0.024390243902439025,0.0,15883.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
31.0,8,1.0,199725.39,1,8.0,6442.754516129033,0.25806451612903225,0.5398343695811534,22191.710000000003,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
34.0,4,2.0,120834.48,0,2.0,3553.955294117647,0.11764705882352941,1.5324583678433508,24166.896,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
34.0,8,2.0,38131.77,0,4.0,1121.5226470588234,0.23529411764705882,3.394370101361673,4236.863333333333,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
39.0,6,1.0,100130.95,0,6.0,2567.4602564102565,0.15384615384615385,1.2003623255347122,14304.421428571428,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
39.0,6,2.0,141069.88,0,3.0,3617.1764102564102,0.15384615384615385,0.0,20152.84,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
48.0,10,1.0,198129.36,0,10.0,4127.695,0.20833333333333334,0.6378883977619471,18011.76,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
28.0,3,1.0,183646.41,0,3.0,6558.800357142857,0.10714285714285714,0.0,45911.6025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.0,9,1.0,110265.24,1,9.0,2625.362857142857,0.21428571428571427,1.3839669691010512,11026.524000000001,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
52.0,1,1.0,8636.05,1,1.0,166.0778846153846,0.019230769230769232,0.0,4318.025,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
56.0,0,1.0,46824.08,1,0.0,836.1442857142857,0.0,3.17159974098797,46824.08,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
41.0,7,2.0,171378.77,0,3.5,4179.969999999999,0.17073170731707318,0.0,21422.34625,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
24.0,9,1.0,167256.35,0,9.0,6969.014583333334,0.375,0.6088083950175883,16725.635000000002,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
34.0,3,2.0,124226.16,0,1.5,3653.7105882352944,0.08823529411764706,0.0,31056.54,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
33.0,9,1.0,114935.21,0,9.0,3482.885151515152,0.2727272727272727,1.138575637526568,11493.521,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
38.0,9,1.0,35608.88,0,9.0,937.0757894736842,0.23684210526315788,3.442143364239482,3560.888,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
25.0,1,2.0,16459.37,0,0.5,658.3747999999999,0.04,0.0,8229.685,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
39.0,7,2.0,124411.08,0,3.5,3190.027692307692,0.1794871794871795,1.003354845886717,15551.385,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1
50.0,5,2.0,34941.23,0,2.5,698.8246,0.1,4.146821677428069,5823.538333333334,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
34.0,5,1.0,167784.28,0,5.0,4934.831764705882,0.14705882352941177,0.3794391822642741,27964.046666666665,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
40.0,2,1.0,93165.34,0,2.0,2329.1335,0.05,1.4325402558505127,31055.11333333333,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
48.0,2,1.0,75161.25,1,2.0,1565.859375,0.041666666666666664,2.835852250993697,25053.75,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
35.0,1,2.0,8590.83,1,0.5,245.45228571428572,0.02857142857142857,15.073090725808798,4295.415,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
44.0,10,1.0,189543.9,0,10.0,4307.815909090909,0.22727272727272727,0.7251728491394341,17231.263636363637,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
34.0,7,2.0,180427.24,0,3.5,5306.6835294117645,0.20588235294117646,0.0,22553.405,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
43.0,5,1.0,193318.33,0,5.0,4495.775116279069,0.11627906976744186,0.6510087791468093,32219.721666666665,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
52.0,2,1.0,159123.82,1,2.0,3060.0734615384617,0.038461538461538464,0.0,53041.27333333334,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
31.0,5,1.0,126213.84,1,5.0,4071.414193548387,0.16129032258064516,0.32417641361676347,21035.64,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
21.0,5,1.0,54141.5,0,5.0,2578.1666666666665,0.23809523809523808,2.090027428128146,9023.583333333334,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
29.0,8,2.0,141075.51,0,4.0,4864.67275862069,0.27586206896551724,0.9803043774217084,15675.056666666667,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
37.0,5,1.0,24495.03,0,5.0,662.0278378378378,0.13513513513513514,4.36689320241698,4082.5049999999997,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
44.0,9,1.0,74836.34,0,9.0,1700.825909090909,0.20454545454545456,1.612607324195705,7483.634,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
32.0,0,2.0,878.87,0,0.0,27.4646875,0.0,0.0,878.87,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
32.0,7,2.0,89520.75,0,3.5,2797.5234375,0.21875,0.0,11190.09375,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
48.0,9,1.0,149892.79,1,9.0,3122.7664583333335,0.1875,0.0,14989.279,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
42.0,8,2.0,180800.42,0,4.0,4304.771904761905,0.19047619047619047,0.0,20088.935555555556,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
37.0,2,1.0,98646.22,0,2.0,2666.114054054054,0.05405405405405406,1.293608513331783,32882.073333333334,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
43.0,6,2.0,109041.53,0,3.0,2535.849534883721,0.13953488372093023,0.0,15577.361428571428,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
57.0,7,1.0,17941.16,1,7.0,314.75719298245616,0.12280701754385964,0.0,2242.645,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
33.0,7,2.0,82996.47,0,3.5,2515.0445454545456,0.21212121212121213,0.0,10374.55875,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
28.0,2,2.0,92067.35,0,1.0,3288.119642857143,0.07142857142857142,0.0,30689.11666666667,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
62.0,6,1.0,104719.66,0,6.0,1689.0267741935484,0.0967741935483871,0.9287582675497609,14959.951428571429,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
33.0,4,1.0,112687.57,0,4.0,3414.774848484849,0.12121212121212122,1.0937027038563347,22537.514000000003,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
22.0,6,1.0,84699.56,0,6.0,3849.98,0.2727272727272727,1.1931614520783815,12099.937142857143,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
30.0,2,2.0,83473.82,0,1.0,2782.460666666667,0.06666666666666667,0.0,27824.60666666667,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
49.0,7,1.0,47125.11,0,7.0,961.7369387755102,0.14285714285714285,2.2919280188417597,5890.63875,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
36.0,2,2.0,106977.8,0,1.0,2971.605555555556,0.05555555555555555,0.0,35659.26666666667,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
29.0,0,1.0,55582.54,1,0.0,1916.6393103448277,0.0,2.405483628491969,55582.54,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
31.0,9,2.0,139874.43,0,4.5,4512.078387096774,0.2903225806451613,0.8950152647628306,13987.443,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1
24.0,7,1.0,162503.48,1,7.0,6770.9783333333335,0.2916666666666667,0.6955803038802615,20312.935,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
41.0,9,1.0,196499.96,0,9.0,4792.681951219512,0.21951219512195122,0.554774820310396,19649.996,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
